3.992094e+002,-3.736790e-001
4.011380e+002,-3.339596e-001
4.030665e+002,-3.106602e-001
4.049951e+002,-3.234033e-001
4.069236e+002,-2.791324e-001
4.088522e+002,-2.007159e-001
4.107807e+002,-2.103227e-001
4.127093e+002,-2.974319e-001
4.146378e+002,-2.674145e-001
4.165664e+002,-2.504397e-001
4.184949e+002,-2.902806e-001
4.204235e+002,-2.967382e-001
4.223520e+002,-2.680335e-001
4.242806e+002,-2.447574e-001
4.262091e+002,-2.748701e-001
4.281377e+002,-3.697649e-001
4.300662e+002,-3.904742e-001
4.319948e+002,-3.757930e-001
4.339233e+002,-3.505363e-001
4.358519e+002,-2.945645e-001
4.377804e+002,-2.845935e-001
4.397090e+002,-2.847707e-001
4.416375e+002,-2.505545e-001
4.435660e+002,-2.917196e-001
4.454946e+002,-3.643022e-001
4.474232e+002,-2.986922e-001
4.493517e+002,-2.625110e-001
4.512802e+002,-2.472782e-001
4.532088e+002,-2.515851e-001
4.551373e+002,-3.514985e-001
4.570659e+002,-3.403110e-001
4.589944e+002,-3.187380e-001
4.609230e+002,-3.761436e-001
4.628515e+002,-3.747234e-001
4.647801e+002,-3.181721e-001
4.667086e+002,-2.297504e-001
4.686372e+002,-1.543958e-001
4.705657e+002,-1.832561e-001
4.724943e+002,-2.064783e-001
4.744228e+002,-1.352327e-001
4.763514e+002,-6.154289e-002
4.782799e+002,-1.000734e-001
4.802085e+002,-1.474427e-001
4.821370e+002,-1.292524e-001
4.840656e+002,-6.849186e-002
4.859941e+002,-3.279366e-002
4.879226e+002,-8.441199e-002
4.898512e+002,-1.447212e-001
4.917798e+002,-7.870548e-002
4.937083e+002,-2.651118e-002
4.956368e+002,-1.906736e-002
4.975654e+002,-2.902498e-002
4.994939e+002,-5.796524e-002
5.014225e+002,-1.849130e-002
5.033510e+002,5.114784e-003
5.052796e+002,-6.186223e-003
5.072081e+002,-2.195591e-002
5.091367e+002,-2.845239e-002
5.110652e+002,-1.507741e-002
5.129938e+002,1.981264e-002
5.149223e+002,6.519948e-002
5.168509e+002,8.230451e-002
5.187794e+002,8.687434e-002
5.207079e+002,7.114300e-002
5.226365e+002,1.109122e-001
5.245651e+002,1.915724e-001
5.264936e+002,2.142448e-001
5.284221e+002,1.928702e-001
5.303507e+002,2.136497e-001
5.322792e+002,1.736127e-001
5.342078e+002,1.743010e-001
5.361364e+002,2.213763e-001
5.380649e+002,2.446613e-001
5.399934e+002,2.498899e-001
5.419220e+002,2.943786e-001
5.438505e+002,3.239598e-001
5.457791e+002,3.079095e-001
5.477076e+002,2.940412e-001
5.496362e+002,3.264106e-001
5.515647e+002,3.499003e-001
5.534933e+002,3.468473e-001
5.554218e+002,3.667627e-001
5.573503e+002,4.343168e-001
5.592789e+002,4.759889e-001
5.612075e+002,5.043120e-001
5.631360e+002,5.290790e-001
5.650646e+002,5.134169e-001
5.669931e+002,5.084087e-001
5.689216e+002,5.525940e-001
5.708502e+002,5.845523e-001
5.727787e+002,6.241626e-001
5.747073e+002,6.352764e-001
5.766359e+002,6.706910e-001
5.785644e+002,7.323750e-001
5.804929e+002,7.582601e-001
5.824215e+002,7.798905e-001
5.843500e+002,7.938867e-001
5.862786e+002,8.260407e-001
5.882072e+002,8.759953e-001
5.901357e+002,8.954250e-001
5.920642e+002,9.415910e-001
5.939928e+002,1.023533e+000
5.959213e+002,1.101541e+000
5.978499e+002,1.117668e+000
5.997784e+002,1.148515e+000
6.017070e+002,1.238502e+000
6.036355e+002,1.318582e+000
6.055641e+002,1.360214e+000
6.074926e+002,1.417552e+000
6.094211e+002,1.451202e+000
6.113497e+002,1.442877e+000
6.132783e+002,1.475657e+000
6.152068e+002,1.533813e+000
6.171354e+002,1.537192e+000
6.190639e+002,1.567584e+000
6.209924e+002,1.607842e+000
6.229210e+002,1.659064e+000
6.248495e+002,1.657291e+000
6.267781e+002,1.633060e+000
6.287067e+002,1.667165e+000
6.306352e+002,1.699617e+000
6.325637e+002,1.707038e+000
6.344923e+002,1.712986e+000
6.364208e+002,1.718174e+000
6.383494e+002,1.705485e+000
6.402780e+002,1.726436e+000
6.422065e+002,1.775678e+000
6.441350e+002,1.774656e+000
6.460636e+002,1.777103e+000
6.479921e+002,1.841125e+000
6.499207e+002,1.841129e+000
6.518492e+002,1.824182e+000
6.537778e+002,1.833808e+000
6.557063e+002,1.877182e+000
6.576349e+002,1.908945e+000
6.595634e+002,1.944718e+000
6.614919e+002,1.939403e+000
6.634205e+002,1.941554e+000
6.653491e+002,1.907961e+000
6.672776e+002,1.886164e+000
6.692062e+002,1.903379e+000
6.711347e+002,1.970285e+000
6.730632e+002,2.043692e+000
6.749918e+002,2.056793e+000
6.769203e+002,2.029010e+000
6.788489e+002,2.001802e+000
6.807775e+002,1.974739e+000
6.827060e+002,2.006928e+000
6.846345e+002,1.985009e+000
6.865631e+002,2.004751e+000
6.884916e+002,2.047214e+000
6.904202e+002,2.034742e+000
6.923488e+002,2.035128e+000
6.942773e+002,2.066999e+000
6.962058e+002,2.077756e+000
6.981344e+002,2.059304e+000
7.000629e+002,2.041198e+000
7.019915e+002,2.061039e+000
7.039200e+002,2.104432e+000
7.058486e+002,2.096725e+000
7.077771e+002,2.089565e+000
7.097057e+002,2.108683e+000
7.116342e+002,2.089767e+000
7.135627e+002,2.119626e+000
7.154913e+002,2.111884e+000
7.174199e+002,2.072875e+000
7.193484e+002,2.069517e+000
7.212770e+002,2.097168e+000
7.232055e+002,2.096012e+000
7.251340e+002,2.088056e+000
7.270626e+002,2.115038e+000
